	nSamples	train_acc	val_acc	test_acc
0	100	0.9681817889213562	0.860869566599528	0.8282828330993652
1	105	0.9797102212905884	0.8805555542310078	0.8400000095367431
2	110	0.9736111164093018	0.8533333341280619	0.8468468467394511
3	115	0.9516340494155884	0.8615384538968404	0.8561403512954712
4	120	0.9735849499702454	0.81481480995814	0.8533333381017049
5	125	0.9854545593261719	0.8619047602017721	0.8301587263743083
6	130	0.968965470790863	0.8850574731826782	0.865116278330485
7	135	0.9688889384269714	0.8644444465637207	0.8651851932207744
8	140	0.9838709235191345	0.8688171943028767	0.8808510740598042
9	145	0.9791666865348816	0.852525266011556	0.8694444417953491
10	150	0.9681591391563416	0.8343434413274129	0.8746666669845581
11	155	0.9681159853935242	0.8725490053494771	0.8679487148920695
12	160	0.9708919525146484	0.8629629572232564	0.8830188671747844
13	165	0.9598173499107361	0.8648648619651794	0.8787878751754761
14	170	0.9804444909095764	0.8842105269432068	0.8877192894617717
15	175	0.9803418517112732	0.9008547067642212	0.8816092054049174
16	180	0.9783333539962769	0.8883333285649617	0.8722222208976745
17	185	0.9764227271080017	0.8829268256823222	0.8946236570676168
18	190	0.9749019742012024	0.8888888796170552	0.870899478594462
19	195	0.977011501789093	0.8713178316752116	0.8676923155784607
20	200	0.9805243015289307	0.8977777838706971	0.905050500233968
21	205	0.9765567779541016	0.886956516901652	0.8774509787559509
22	210	0.9756272435188293	0.8879432757695516	0.8742857178052267
23	215	0.9798611402511597	0.8722222248713175	0.8976525783538818
24	220	0.9795919060707092	0.881632653872172	0.889497721195221
25	225	0.9733332991600037	0.8706666588783264	0.8871111194292705
26	230	0.9805824756622314	0.8849673271179199	0.8745614131291707
27	235	0.9834921956062317	0.8807692329088846	0.8811965703964233
28	240	0.9744547605514526	0.8754716992378235	0.896666673819224
29	245	0.974311888217926	0.8884848475456237	0.8971193472544352
30	250	0.9651651978492737	0.8761904756228129	0.8827309290568034
31	255	0.9781710505485535	0.8935672561327617	0.8839215755462646
32	260	0.9775862097740173	0.9034482796986898	0.8875968933105469
33	265	0.9875707030296326	0.894915250937144	0.8909091035525004
34	270	0.9861111044883728	0.8955555518468221	0.9029629588127136
35	275	0.9691057205200195	0.8863387982050578	0.9062271118164062
36	280	0.9775999784469604	0.8795698841412862	0.8960573474566141
37	285	0.981627345085144	0.894179900487264	0.8975438634554546
38	290	0.977777898311615	0.8953846216201782	0.8875
39	295	0.9776080250740051	0.8828282872835795	0.9068027138710022
40	300	0.9771144390106201	0.9004975120226543	0.9023569107055665
41	305	0.9843137860298157	0.8901960849761963	0.8943894426027934
42	310	0.9797101616859436	0.9082125663757324	0.8951456348101298
43	315	0.9754136800765991	0.8952380855878194	0.9044871846834819
44	320	0.9808857440948486	0.8835680762926738	0.9088050325711569
45	325	0.9779309034347534	0.8870370388031006	0.895061727364858
46	330	0.9851351380348206	0.9031963467597961	0.9027522961298625
47	335	0.9853333234786987	0.9063063065210978	0.9003002961476644
48	340	0.9798246026039124	0.9013333400090535	0.9091445446014405
49	345	0.983116865158081	0.9021645069122315	0.9093567252159118
50	350	0.9850427508354187	0.9102564016977946	0.9022988478342692
51	355	0.9810126423835754	0.8936708847681681	0.9107344587643941
52	360	0.9842649698257446	0.9133333325386047	0.9042016863822937
53	365	0.9844580292701721	0.9078189253807067	0.8931129574775696
54	370	0.9818181991577148	0.909756088256836	0.8991869886716207
55	375	0.9801586270332336	0.9076305190722148	0.9069892485936483
56	380	0.9850980639457703	0.91746031443278	0.8873015880584717
57	385	0.9817829728126526	0.9121568679809571	0.9104166666666667
58	390	0.9865900278091431	0.9003831346829733	0.9059431672096252
59	395	0.9757575392723083	0.9174242456754048	0.9094147562980652
60	400	0.9839850664138794	0.8913857777913411	0.9101010044415792
61	405	0.9742173552513123	0.9103703618049621	0.9094527324040731
62	410	0.9814207553863525	0.9113553166389465	0.9029411832491557
